Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
118,59.0,2,1524.62,718.15,100.0,25.0,Pepoli_11_5,1528.1263895652437,730.605130096433,15.13908256941051
119,59.5,0,1458.79,985.86,100.0,30.0,,,,
119,59.5,0,1458.79,985.86,100.0,30.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
119,59.5,1,1488.73,846.56,100.0,30.0,,,,
119,59.5,2,1524.62,718.15,100.0,30.0,,,,
119,59.5,2,1524.62,718.15,100.0,30.0,Pepoli_10_4,1546.4055806671333,674.4056682720513,11.856391113760187
119,59.5,2,1524.62,718.15,100.0,30.0,Pepoli_11_5,1526.168514557105,737.956102020481,15.214721728957208
119,59.5,2,1524.62,718.15,100.0,30.0,Pepoli_11_6,1547.1456733828413,659.1959641499391,13.268052400708848
120,60.0,0,1458.79,985.86,100.0,35.0,,,,
120,60.0,0,1458.79,985.86,100.0,35.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
120,60.0,1,1488.73,846.56,100.0,35.0,,,,
120,60.0,2,1524.62,718.15,100.0,35.0,,,,
120,60.0,2,1524.62,718.15,100.0,35.0,Pepoli_10_4,1544.828736095522,680.3267480427551,12.26010792150279
120,60.0,2,1524.62,718.15,100.0,35.0,Pepoli_11_5,1524.2314007033956,745.4683889740896,15.516760163978159
120,60.0,2,1524.62,718.15,100.0,35.0,Pepoli_11_6,1545.4360709934274,665.6147800159299,13.2853856931461
120,60.0,2,1524.62,718.15,100.0,35.0,Pepoli_11_8,1544.6996961769207,655.9505953193586,14.215630105382907
121,60.5,0,1458.79,985.86,100.0,40.0,,,,
121,60.5,0,1458.79,985.86,100.0,40.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
121,60.5,1,1488.73,846.56,100.0,40.0,,,,
121,60.5,2,1524.62,718.15,100.0,40.0,,,,
121,60.5,2,1524.62,718.15,100.0,40.0,Pepoli_10_4,1543.2921450487584,686.0966751025526,11.947133156746863
121,60.5,2,1524.62,718.15,100.0,40.0,Pepoli_11_5,1522.3513461974444,752.996435898276,15.51876898921602
121,60.5,2,1524.62,718.15,100.0,40.0,Pepoli_11_6,1543.7522067150933,671.936960432192,13.085373845465666
121,60.5,2,1524.62,718.15,100.0,40.0,Pepoli_11_8,1542.8290397943217,662.9732549285186,14.529514439264922
121,60.5,2,1524.62,718.15,100.0,40.0,Pepoli_10_10,1549.7043692099112,649.5891705043878,14.1315832533936
122,61.0,0,1458.79,985.86,100.0,45.0,,,,
122,61.0,0,1458.79,985.86,100.0,45.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
122,61.0,1,1488.73,846.56,100.0,45.0,,,,
122,61.0,2,1524.62,718.15,100.0,45.0,,,,
122,61.0,2,1524.62,718.15,100.0,45.0,Pepoli_10_4,1541.784744230185,691.7569923296816,11.720176515422068
122,61.0,2,1524.62,718.15,100.0,45.0,Pepoli_11_5,1520.5075245547841,760.3794004888447,15.219687535220707
122,61.0,2,1524.62,718.15,100.0,45.0,Pepoli_11_6,1542.0859488730314,678.1930363125749,12.948553554378169
122,61.0,2,1524.62,718.15,100.0,45.0,Pepoli_11_8,1540.992214626684,669.8689082584667,14.266745108215282
122,61.0,2,1524.62,718.15,100.0,45.0,Pepoli_10_10,1547.970585622815,656.0987762852171,13.47329870714446
123,61.5,0,1458.79,985.86,100.0,50.0,,,,
123,61.5,0,1458.79,985.86,100.0,50.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
123,61.5,1,1488.73,846.56,100.0,50.0,,,,
123,61.5,2,1524.62,718.15,100.0,50.0,,,,
123,61.5,2,1524.62,718.15,100.0,50.0,Pepoli_11_3,1553.440092113698,647.9909510748638,10.674794704423231
123,61.5,2,1524.62,718.15,100.0,50.0,Pepoli_10_4,1540.2076770946771,697.6789078318245,12.261838375750235
123,61.5,2,1524.62,718.15,100.0,50.0,Pepoli_11_5,1518.604510551061,767.9993810117846,15.708286442517254
123,61.5,2,1524.62,718.15,100.0,50.0,Pepoli_11_6,1540.384636232394,684.5807277654849,13.220965737676897
123,61.5,2,1524.62,718.15,100.0,50.0,Pepoli_11_8,1539.1375043957198,676.8317041769733,14.405659602757687
123,61.5,2,1524.62,718.15,100.0,50.0,Pepoli_10_10,1546.2117396060846,662.7024806248526,13.668059808413979
124,62.0,0,1458.79,985.86,100.0,55.0,,,,
124,62.0,0,1458.79,985.86,100.0,55.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
124,62.0,1,1488.73,846.56,100.0,55.0,,,,
124,62.0,1,1488.73,846.56,100.0,55.0,Pepoli_11_5,1516.7123750663304,775.5758021585549,15.618490522951305
124,62.0,2,1524.62,718.15,100.0,55.0,,,,
124,62.0,2,1524.62,718.15,100.0,55.0,Pepoli_11_3,1552.0060738393872,653.3757155264187,11.149620654425064
124,62.0,2,1524.62,718.15,100.0,55.0,Pepoli_10_4,1538.6274351855438,703.6127446661208,12.2865225253359
124,62.0,2,1524.62,718.15,100.0,55.0,Pepoli_11_5,1516.7123750663304,775.5758021585549,15.618490522951305
124,62.0,2,1524.62,718.15,100.0,55.0,Pepoli_11_6,1538.6793508169117,690.9833352657557,13.25183832326643
124,62.0,2,1524.62,718.15,100.0,55.0,Pepoli_11_8,1537.3200050665841,683.6548060823397,14.116640015598996
